Experiment,Measurement,Replication,Module,Name,Value
General,,#57,fcnetwork.node1,#status,7
General,,#58,fcnetwork.node4,#status,6
General,,#58,fcnetwork.node3,#status,6
General,,#58,fcnetwork.node2,#status,6
General,,#58,fcnetwork.node1,#status,6
General,,#59,fcnetwork.node4,#status,6
General,,#59,fcnetwork.node3,#status,6
General,,#59,fcnetwork.node2,#status,6
General,,#59,fcnetwork.node1,#status,6
General,,#60,fcnetwork.node4,#status,6
General,,#60,fcnetwork.node1,#status,8
General,,#60,fcnetwork.node3,#status,6
General,,#60,fcnetwork.node2,#status,6
General,,#61,fcnetwork.node4,#status,6
General,,#61,fcnetwork.node1,#status,6
General,,#61,fcnetwork.node2,#status,6
General,,#61,fcnetwork.node3,#status,6
General,,#62,fcnetwork.node3,#status,6
General,,#62,fcnetwork.node2,#status,6
General,,#62,fcnetwork.node1,#status,6
General,,#62,fcnetwork.node4,#status,6
General,,#63,fcnetwork.node1,#status,15
General,,#63,fcnetwork.node2,#status,6
General,,#63,fcnetwork.node3,#status,6
General,,#63,fcnetwork.node4,#status,6
General,,#64,fcnetwork.node4,#status,7
General,,#64,fcnetwork.node3,#status,6
General,,#64,fcnetwork.node2,#status,6
General,,#64,fcnetwork.node1,#status,6
General,,#65,fcnetwork.node2,#status,6
General,,#65,fcnetwork.node1,#status,6
General,,#65,fcnetwork.node4,#status,6
General,,#65,fcnetwork.node3,#status,6
General,,#66,fcnetwork.node3,#status,6
General,,#66,fcnetwork.node4,#status,6
General,,#66,fcnetwork.node2,#status,6
General,,#66,fcnetwork.node1,#status,6
General,,#67,fcnetwork.node1,#status,6
General,,#67,fcnetwork.node2,#status,6
General,,#67,fcnetwork.node3,#status,6
General,,#67,fcnetwork.node4,#status,6
General,,#68,fcnetwork.node4,#status,6
General,,#68,fcnetwork.node3,#status,6
General,,#68,fcnetwork.node2,#status,6
General,,#68,fcnetwork.node1,#status,6
General,,#69,fcnetwork.node4,#status,6
General,,#69,fcnetwork.node3,#status,6
General,,#69,fcnetwork.node2,#status,6
General,,#69,fcnetwork.node1,#status,6
General,,#70,fcnetwork.node1,#status,6
General,,#70,fcnetwork.node4,#status,6
General,,#70,fcnetwork.node3,#status,6
General,,#70,fcnetwork.node2,#status,6
General,,#71,fcnetwork.node1,#status,6
General,,#71,fcnetwork.node2,#status,6
General,,#71,fcnetwork.node3,#status,6
General,,#71,fcnetwork.node4,#status,6
General,,#72,fcnetwork.node4,#status,6
General,,#72,fcnetwork.node3,#status,6
General,,#72,fcnetwork.node2,#status,6
General,,#72,fcnetwork.node1,#status,6
General,,#73,fcnetwork.node4,#status,6
General,,#73,fcnetwork.node3,#status,6
General,,#73,fcnetwork.node2,#status,6
General,,#73,fcnetwork.node1,#status,6
General,,#74,fcnetwork.node2,#status,6
General,,#74,fcnetwork.node1,#status,6
General,,#74,fcnetwork.node3,#status,7
General,,#74,fcnetwork.node4,#status,6
General,,#75,fcnetwork.node1,#status,6
General,,#75,fcnetwork.node2,#status,6
General,,#75,fcnetwork.node3,#status,6
General,,#75,fcnetwork.node4,#status,6
General,,#76,fcnetwork.node1,#status,6
General,,#76,fcnetwork.node2,#status,6
General,,#76,fcnetwork.node3,#status,6
General,,#76,fcnetwork.node4,#status,8
General,,#77,fcnetwork.node4,#status,6
General,,#77,fcnetwork.node3,#status,6
General,,#77,fcnetwork.node2,#status,6
General,,#77,fcnetwork.node1,#status,6
General,,#78,fcnetwork.node4,#status,7
General,,#78,fcnetwork.node3,#status,6
General,,#78,fcnetwork.node2,#status,6
General,,#78,fcnetwork.node1,#status,6
General,,#79,fcnetwork.node1,#status,6
General,,#79,fcnetwork.node2,#status,6
General,,#79,fcnetwork.node3,#status,6
General,,#79,fcnetwork.node4,#status,6
General,,#80,fcnetwork.node3,#status,6
General,,#80,fcnetwork.node2,#status,6
General,,#80,fcnetwork.node1,#status,6
General,,#80,fcnetwork.node4,#status,6
General,,#81,fcnetwork.node1,#status,6
General,,#81,fcnetwork.node4,#status,7
General,,#81,fcnetwork.node3,#status,6
General,,#81,fcnetwork.node2,#status,6
General,,#82,fcnetwork.node1,#status,6
General,,#82,fcnetwork.node2,#status,6
General,,#82,fcnetwork.node4,#status,6
General,,#82,fcnetwork.node3,#status,6
General,,#83,fcnetwork.node1,#status,6
General,,#83,fcnetwork.node2,#status,6
General,,#83,fcnetwork.node3,#status,6
General,,#83,fcnetwork.node4,#status,6
General,,#84,fcnetwork.node4,#status,6
